,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score
4201,ID_3031,333346,250.0,300.0,3083,4.0,3.0,3.0,,47.25,,,
4202,ID_409,333346,250.0,300.0,20104,13.0,0.0,0.0,11.0,69.3529411764706,0.26163417,0.04933426,0.2122999
4203,ID_2086,333346,250.0,300.0,12947,5.0,1.0,0.0,9.0,42.85714285714285,,,
4204,ID_250,333346,250.0,300.0,4077,1.0,1.0,0.0,,119.0,,,
4205,ID_36,333519,250.0,300.0,26908,7.0,5.0,0.0,,59.90909090909091,,,
4206,ID_124,333519,250.0,300.0,2307,3.0,2.0,1.0,1.0,53.333333333333336,,,
4207,ID_3374,333519,250.0,300.0,3640,5.0,2.0,1.0,,52.0,0.016509434,0.04933426,-0.03282483
4208,ID_954,333346,250.0,300.0,3692,3.0,3.0,3.0,,55.6,,,
4209,ID_2907,333346,250.0,300.0,6107,5.0,3.0,1.0,1.0,53.0,,,
4210,ID_650,333519,250.0,300.0,109103,32.0,22.0,5.0,25.0,66.74285714285715,,,
4211,ID_631,333519,250.0,300.0,4629,2.0,1.0,1.0,1.0,38.5,,,
4212,ID_1073,333519,,,2606,,,,,,,,
4213,ID_2114,333346,250.0,300.0,291228,14.0,11.0,6.0,3.0,30.75,0.06358381,0.053200476,0.014249554
4214,ID_3439,333346,250.0,300.0,20997,11.0,8.0,3.0,,54.47058823529412,,,
4215,ID_890,333346,250.0,300.0,54891,21.0,20.0,7.0,,55.333333333333336,0.009993338,0.053200476,-0.040352225
4216,ID_1673,333519,250.0,300.0,7749,1.0,1.0,0.0,,88.0,0.16371411,0.04933426,0.11437985
4217,ID_920,333346,250.0,300.0,90491,35.0,33.0,22.0,1.0,61.55102040816327,0.0148112755,0.04933426,-0.034522984
4218,ID_935,333346,250.0,300.0,10990,2.0,2.0,0.0,1.0,88.5,,,
4219,ID_3142,333346,250.0,300.0,4893,19.0,19.0,5.0,,61.142857142857146,0.02060086,0.04933426,-0.028733402
4220,ID_1728,333346,250.0,300.0,35588,1.0,1.0,0.0,2.0,59.0,0.045813587,0.04933426,-0.0035206755
4221,ID_72,333346,,,2182,,,,,,,,
4222,ID_675,333519,,,2275,,,,,,,,
4223,ID_1068,333519,250.0,300.0,2107,5.0,3.0,1.0,2.0,57.2,,,
4224,ID_1,333346,250.0,300.0,59598,55.0,45.0,8.0,63.0,52.71951219512195,0.014426728,0.04933426,-0.034907535
4225,ID_1324,333346,,,2146,,,,,,,,
4226,ID_3560,333519,,,2293,,,,,,,,
4227,ID_3449,333519,,,3814,,,,,,,,
4228,ID_2875,333519,,,2883,,,,1.0,,,,
4229,ID_1506,333346,,,3433,,,,,,,,
